ROUND_NO	CHOICE1	CHOICE2	PAYOFF1	PAYOFF2	CUM1	CUM2	TOTAL1	TOTAL2
1	1	1	0.2	0.2	0.20	0.20	28.80	26.80
2	1	0	1	0	1.20	0.20	28.80	26.80
3	1	1	0.2	0.2	1.40	0.40	28.80	26.80
4	1	1	0.2	0.2	1.60	0.60	28.80	26.80
5	1	1	0.2	0.2	1.80	0.80	28.80	26.80
6	1	0	1	0	2.80	0.80	28.80	26.80
7	1	1	0.2	0.2	3.00	1.00	28.80	26.80
8	0	0	0.6	0.6	3.60	1.60	28.80	26.80
9	0	0	0.6	0.6	4.20	2.20	28.80	26.80
10	0	0	0.6	0.6	4.80	2.80	28.80	26.80
11	0	0	0.6	0.6	5.40	3.40	28.80	26.80
12	0	0	0.6	0.6	6.00	4.00	28.80	26.80
13	0	0	0.6	0.6	6.60	4.60	28.80	26.80
14	0	0	0.6	0.6	7.20	5.20	28.80	26.80
15	0	0	0.6	0.6	7.80	5.80	28.80	26.80
16	0	0	0.6	0.6	8.40	6.40	28.80	26.80
17	0	0	0.6	0.6	9.00	7.00	28.80	26.80
18	0	0	0.6	0.6	9.60	7.60	28.80	26.80
19	0	0	0.6	0.6	10.20	8.20	28.80	26.80
20	0	0	0.6	0.6	10.80	8.80	28.80	26.80
21	0	0	0.6	0.6	11.40	9.40	28.80	26.80
22	0	0	0.6	0.6	12.00	10.00	28.80	26.80
23	0	0	0.6	0.6	12.60	10.60	28.80	26.80
24	0	0	0.6	0.6	13.20	11.20	28.80	26.80
25	0	0	0.6	0.6	13.80	11.80	28.80	26.80
26	0	0	0.6	0.6	14.40	12.40	28.80	26.80
27	0	0	0.6	0.6	15.00	13.00	28.80	26.80
28	0	0	0.6	0.6	15.60	13.60	28.80	26.80
29	0	0	0.6	0.6	16.20	14.20	28.80	26.80
30	0	0	0.6	0.6	16.80	14.80	28.80	26.80
31	0	0	0.6	0.6	17.40	15.40	28.80	26.80
32	0	0	0.6	0.6	18.00	16.00	28.80	26.80
33	0	0	0.6	0.6	18.60	16.60	28.80	26.80
34	0	0	0.6	0.6	19.20	17.20	28.80	26.80
35	0	0	0.6	0.6	19.80	17.80	28.80	26.80
36	0	0	0.6	0.6	20.40	18.40	28.80	26.80
37	0	0	0.6	0.6	21.00	19.00	28.80	26.80
38	0	0	0.6	0.6	21.60	19.60	28.80	26.80
39	0	0	0.6	0.6	22.20	20.20	28.80	26.80
40	0	0	0.6	0.6	22.80	20.80	28.80	26.80
41	0	0	0.6	0.6	23.40	21.40	28.80	26.80
42	0	0	0.6	0.6	24.00	22.00	28.80	26.80
43	0	0	0.6	0.6	24.60	22.60	28.80	26.80
44	0	0	0.6	0.6	25.20	23.20	28.80	26.80
45	0	0	0.6	0.6	25.80	23.80	28.80	26.80
46	0	0	0.6	0.6	26.40	24.40	28.80	26.80
47	0	0	0.6	0.6	27.00	25.00	28.80	26.80
48	0	0	0.6	0.6	27.60	25.60	28.80	26.80
49	0	0	0.6	0.6	28.20	26.20	28.80	26.80
50	0	0	0.6	0.6	28.80	26.80	28.80	26.80
